params,PutOnPlateInScene25Carrot-v1-test,PutOnPlateInScene25Carrot-v1-train,PutOnPlateInScene25EEPose-v1-test,PutOnPlateInScene25Instruct-v1-test,PutOnPlateInScene25MultiCarrot-v1-test,PutOnPlateInScene25MultiCarrot-v1-train,PutOnPlateInScene25MultiPlate-v1-test,PutOnPlateInScene25MultiPlate-v1-train,PutOnPlateInScene25Plate-v1-test,PutOnPlateInScene25Position-v1-test,PutOnPlateInScene25PositionChangeTo-v1-test,PutOnPlateInScene25VisionImage-v1-test,PutOnPlateInScene25VisionTexture03-v1-test,PutOnPlateInScene25VisionTexture05-v1-test,PutOnPlateInScene25VisionWhole03-v1-test,PutOnPlateInScene25VisionWhole05-v1-test,avg_success_train,avg_success_test,avg_success_all
ppo;clip;para1=0.1;para2=0.0;para3=0+steps_0199,0.65625,0.828125,0.578125,0.75,0.46875,0.65625,0.484375,0.71875,0.65625,0.59375,0.59375,0.875,0.734375,0.578125,0.71875,0.671875,0.734375,0.6430288461538461,0.66015625
ppo;clip;para1=0.2;para2=0.0;para3=0+steps_0199,0.765625,0.8125,0.640625,0.78125,0.5,0.765625,0.46875,0.828125,0.6875,0.640625,0.703125,0.796875,0.828125,0.53125,0.8125,0.609375,0.8020833333333334,0.6742788461538461,0.6982421875
ppo;clip;para1=0.3;para2=0.0;para3=0+steps_0199,0.71875,0.8125,0.75,0.765625,0.578125,0.796875,0.53125,0.84375,0.609375,0.765625,0.625,0.875,0.734375,0.59375,0.765625,0.59375,0.8177083333333334,0.6850961538461539,0.7099609375
ppo;clip;para1=0.329;para2=0.0;para3=0+steps_0199,0.640625,0.8125,0.578125,0.796875,0.46875,0.578125,0.46875,0.71875,0.578125,0.640625,0.59375,0.796875,0.6875,0.515625,0.671875,0.609375,0.703125,0.6189903846153846,0.634765625
ppo;clip;para1=0.4;para2=0.0;para3=0+steps_0199,0.640625,0.9375,0.8125,0.796875,0.59375,0.75,0.609375,0.84375,0.75,0.875,0.765625,0.890625,0.796875,0.625,0.828125,0.640625,0.84375,0.7403846153846154,0.759765625
ppo;clip;para1=0.422;para2=0.0;para3=0+steps_0199,0.578125,0.8125,0.59375,0.78125,0.484375,0.59375,0.25,0.578125,0.3125,0.640625,0.515625,0.6875,0.703125,0.4375,0.59375,0.515625,0.6614583333333334,0.5456730769230769,0.5673828125
ppo;clip;para1=0.5;para2=0.0;para3=0+steps_0199,0.59375,0.8125,0.625,0.78125,0.4375,0.65625,0.421875,0.765625,0.546875,0.703125,0.609375,0.890625,0.75,0.53125,0.765625,0.640625,0.7447916666666666,0.6382211538461539,0.658203125
ppo;clip_cov;para1=0.0002;para2=1.0;para3=5.0+steps_0199,0.65625,0.84375,0.515625,0.796875,0.484375,0.6875,0.375,0.609375,0.5625,0.53125,0.5,0.796875,0.6875,0.484375,0.703125,0.5,0.7135416666666666,0.5841346153846154,0.6083984375
ppo;clip_high;para1=0.2;para2=0.28;para3=0+steps_0199,0.65625,0.828125,0.640625,0.75,0.53125,0.671875,0.34375,0.8125,0.59375,0.65625,0.703125,0.875,0.765625,0.578125,0.78125,0.59375,0.7708333333333334,0.6514423076923077,0.673828125
ppo;clip_high;para1=0.329;para2=0.5;para3=0+steps_0199,0.65625,0.84375,0.65625,0.828125,0.421875,0.6875,0.453125,0.703125,0.65625,0.703125,0.734375,0.828125,0.78125,0.546875,0.78125,0.59375,0.7447916666666666,0.6646634615384616,0.6796875
ppo;clip_high;para1=0.329;para2=0.6;para3=0+steps_0199,0.6875,0.859375,0.671875,0.828125,0.5,0.6875,0.5625,0.8125,0.71875,0.609375,0.625,0.796875,0.796875,0.609375,0.84375,0.578125,0.7864583333333334,0.6790865384615384,0.69921875
ppo;dynamic_clip;para1=0.2;para2=0.28;para3=3.0+steps_0199,0.484375,0.609375,0.59375,0.5625,0.359375,0.625,0.296875,0.46875,0.34375,0.5625,0.5,0.703125,0.78125,0.515625,0.765625,0.5625,0.5677083333333334,0.5408653846153846,0.5458984375
ppo;soft_gated;para1=1.0;para2=1.05;para3=0+steps_0199,0.703125,0.625,0.609375,0.578125,0.4375,0.578125,0.359375,0.6875,0.546875,0.484375,0.5,0.78125,0.625,0.5625,0.6875,0.515625,0.6302083333333334,0.5685096153846154,0.580078125
ppo;trgc;para1=0.03;para2=0.0;para3=0+steps_0199,0.609375,0.859375,0.59375,0.734375,0.5625,0.671875,0.4375,0.671875,0.5625,0.625,0.609375,0.875,0.75,0.5,0.71875,0.515625,0.734375,0.6225961538461539,0.6435546875
ppo;trgc;para1=0.06;para2=0.0;para3=0+steps_0199,0.734375,0.8125,0.5,0.71875,0.484375,0.65625,0.34375,0.625,0.5625,0.59375,0.515625,0.78125,0.78125,0.5625,0.796875,0.5625,0.6979166666666666,0.6105769230769231,0.626953125
ppo;trgc;para1=0.07;para2=0.0;para3=0+steps_0199,0.75,0.859375,0.65625,0.8125,0.546875,0.609375,0.453125,0.75,0.71875,0.65625,0.59375,0.71875,0.796875,0.546875,0.828125,0.625,0.7395833333333334,0.6694711538461539,0.6826171875
ppo;trgc;para1=0.08;para2=0.0;para3=0+steps_0199,0.671875,0.78125,0.640625,0.765625,0.5,0.640625,0.390625,0.703125,0.609375,0.75,0.59375,0.796875,0.78125,0.625,0.78125,0.625,0.7083333333333334,0.65625,0.666015625
ppo;trgc;para1=0.1;para2=0.0;para3=0+steps_0199,0.671875,0.703125,0.625,0.796875,0.46875,0.640625,0.421875,0.71875,0.609375,0.671875,0.640625,0.8125,0.765625,0.59375,0.71875,0.59375,0.6875,0.6454326923076923,0.6533203125
ppo;trgppo;para1=0.05;para2=0.0;para3=0+steps_0199,0.125,0.09375,0.109375,0.125,0.109375,0.203125,0.0625,0.15625,0.09375,0.0625,0.15625,0.265625,0.1875,0.078125,0.296875,0.265625,0.15104166666666666,0.14903846153846154,0.1494140625
ppo;trgppo;para1=0.06;para2=0.0;para3=0+steps_0199,0.34375,0.6875,0.515625,0.609375,0.40625,0.609375,0.4375,0.59375,0.421875,0.296875,0.4375,0.734375,0.484375,0.359375,0.5625,0.3125,0.6302083333333334,0.45552884615384615,0.48828125
ppo;trgppo;para1=0.07;para2=0.0;para3=0+steps_0199,0.46875,0.703125,0.421875,0.65625,0.390625,0.578125,0.3125,0.65625,0.421875,0.421875,0.5,0.71875,0.5625,0.34375,0.546875,0.375,0.6458333333333334,0.4723557692307692,0.5048828125
ppo;trgppo;para1=0.08;para2=0.0;para3=0+steps_0199,0.359375,0.390625,0.375,0.390625,0.15625,0.328125,0.15625,0.390625,0.34375,0.390625,0.28125,0.515625,0.421875,0.5,0.578125,0.46875,0.3697916666666667,0.3798076923076923,0.3779296875
ppo;trgppo;para1=0.09;para2=0.0;para3=0+steps_0199,0.359375,0.46875,0.328125,0.375,0.25,0.4375,0.265625,0.40625,0.28125,0.40625,0.234375,0.53125,0.390625,0.328125,0.484375,0.359375,0.4375,0.35336538461538464,0.369140625
