params,PutOnPlateInScene25Carrot-v1-test,PutOnPlateInScene25Carrot-v1-train,PutOnPlateInScene25EEPose-v1-test,PutOnPlateInScene25Instruct-v1-test,PutOnPlateInScene25MultiCarrot-v1-test,PutOnPlateInScene25MultiCarrot-v1-train,PutOnPlateInScene25MultiPlate-v1-test,PutOnPlateInScene25MultiPlate-v1-train,PutOnPlateInScene25Plate-v1-test,PutOnPlateInScene25Position-v1-test,PutOnPlateInScene25PositionChangeTo-v1-test,PutOnPlateInScene25VisionImage-v1-test,PutOnPlateInScene25VisionTexture03-v1-test,PutOnPlateInScene25VisionTexture05-v1-test,PutOnPlateInScene25VisionWhole03-v1-test,PutOnPlateInScene25VisionWhole05-v1-test,avg_success_train,avg_success_test,avg_success_all
ppo;clip;para1=0.1;para2=0.0;para3=0+steps_0199,0.6510416666666666,0.8177083333333334,0.6614583333333334,0.7291666666666666,0.5,0.6614583333333334,0.4479166666666667,0.6927083333333334,0.6041666666666666,0.65625,0.6614583333333334,0.828125,0.703125,0.546875,0.71875,0.6145833333333334,0.7239583333333334,0.6402243589743589,0.6559244791666666
ppo;clip;para1=0.1;para2=0.0;para3=0+steps_0249,0.6510416666666666,0.828125,0.6927083333333334,0.7395833333333334,0.53125,0.640625,0.4895833333333333,0.734375,0.6614583333333334,0.65625,0.625,0.8020833333333334,0.7239583333333334,0.546875,0.703125,0.5833333333333334,0.734375,0.6466346153846154,0.6630859375000001
ppo;clip;para1=0.2;para2=0.0;para3=0+steps_0199,0.703125,0.7864583333333334,0.703125,0.75,0.515625,0.7447916666666666,0.4895833333333333,0.828125,0.6822916666666666,0.6614583333333334,0.6770833333333334,0.8333333333333334,0.7291666666666666,0.53125,0.765625,0.609375,0.7864583333333334,0.6654647435897435,0.6881510416666666
ppo;clip;para1=0.2;para2=0.0;para3=0+steps_0249,0.6822916666666666,0.8333333333333334,0.7604166666666666,0.8229166666666666,0.4739583333333333,0.7708333333333334,0.4895833333333333,0.765625,0.6666666666666666,0.6979166666666666,0.71875,0.828125,0.71875,0.59375,0.7916666666666666,0.6979166666666666,0.7899305555555557,0.687900641025641,0.70703125
ppo;clip;para1=0.3;para2=0.0;para3=0+steps_0199,0.7083333333333334,0.8541666666666666,0.7864583333333334,0.7864583333333334,0.546875,0.75,0.5572916666666666,0.765625,0.65625,0.7239583333333334,0.7083333333333334,0.8333333333333334,0.6822916666666666,0.578125,0.7552083333333334,0.5364583333333334,0.7899305555555555,0.6814903846153846,0.7018229166666667
ppo;clip;para1=0.3;para2=0.0;para3=0+steps_0249,0.7239583333333334,0.8697916666666666,0.8541666666666666,0.8802083333333334,0.6041666666666666,0.7708333333333334,0.6197916666666666,0.7708333333333334,0.75,0.7447916666666666,0.703125,0.8333333333333334,0.7291666666666666,0.578125,0.828125,0.6041666666666666,0.8038194444444445,0.7271634615384615,0.7415364583333334
ppo;clip;para1=0.329;para2=0.0;para3=0+steps_0199,0.6614583333333334,0.8385416666666666,0.6458333333333334,0.7395833333333334,0.5208333333333334,0.6354166666666666,0.4635416666666667,0.7291666666666666,0.59375,0.6145833333333334,0.6197916666666666,0.7604166666666666,0.65625,0.4895833333333333,0.671875,0.5677083333333334,0.734375,0.6157852564102565,0.6380208333333335
ppo;clip;para1=0.329;para2=0.0;para3=0+steps_0249,0.65625,0.8177083333333334,0.671875,0.8072916666666666,0.5208333333333334,0.6510416666666666,0.4479166666666667,0.7552083333333334,0.53125,0.65625,0.640625,0.7864583333333334,0.6666666666666666,0.5625,0.6614583333333334,0.53125,0.7413194444444445,0.6262019230769231,0.6477864583333334
ppo;clip;para1=0.4;para2=0.0;para3=0+steps_0199,0.6770833333333334,0.921875,0.8020833333333334,0.7864583333333334,0.578125,0.765625,0.5625,0.828125,0.7239583333333334,0.7916666666666666,0.7604166666666666,0.8385416666666666,0.7708333333333334,0.6197916666666666,0.796875,0.5885416666666666,0.8385416666666666,0.7151442307692307,0.7382812499999999
ppo;clip;para1=0.4;para2=0.0;para3=0+steps_0249,0.7395833333333334,0.8489583333333334,0.8489583333333334,0.8333333333333334,0.5885416666666666,0.75,0.5416666666666666,0.8177083333333334,0.7395833333333334,0.6979166666666666,0.7291666666666666,0.8229166666666666,0.796875,0.5416666666666666,0.75,0.5729166666666666,0.8055555555555557,0.7079326923076923,0.7262369791666665
